WT	Shuf1		
3.3e+008	3.6600e+008		
4.3e+007	4.2155e+007		
7.4e+008	6.1900e+008		
1.0e+009	1.1700e+009		
6.2e+008	5.6800e+008		
2.4e+009	2.3600e+009		
1.4e+009	1.5200e+009		
1.4e+009	1.5000e+009		
2.2e+009	1.9200e+009		
1.2e+009	9.5100e+008		
2.4e+009	2.5600e+009		
4.1e+010	3.8700e+010	3.87e+010	
1.2e+009	9.6800e+008		
9.4e+009	8.6800e+009		
0.0	0.0000		
1.1e+010	1.2500e+010		
4.2e+009	4.5500e+009		
0.0	0.0000		
2.4e+009	2.0200e+009		
2.8e+009	2.9300e+009		
7.2e+007	8.3123e+007		
5.3e+008	6.3700e+008		
4.0e+008	4.1300e+008		
7.4e+008	6.6400e+008		
4.3e+008	3.5900e+008		
6.6e+008	8.2900e+008		
1.2e+008	1.3300e+008		
8.9e+008	7.0900e+008		
1.2e+009	9.9000e+008		
7.4e+008	7.7500e+008		
0.0	0.0000		
4.2e+009	3.8900e+009		
1.9e+008	1.8200e+008		
3.7e+009	3.6700e+009		
0.0	0.0000		
2.5e+008	5.3600e+008		
3.0e+008	3.6300e+008		
0.0	0.0000		
5.1e+008	3.8200e+008		
3.4e+008	3.2800e+008		
3.4e+009	2.9600e+009		
3.1e+010	2.8900e+010		
0.0	8.3701e+007		
4.1e+007	4.7243e+007		
3.0e+008	2.6000e+008		
6.8e+009	8.0600e+009		
2.0e+008	1.7900e+008		
0.0	0.0000		
3.2e+008	3.2900e+008		
5.5e+008	4.6200e+008	4.62e+008	
2.0e+008	1.9400e+008		
1.4e+008	1.5700e+008		
9.6e+007	1.0200e+008		
1.1e+010	1.1300e+010		
1.7e+008	1.6600e+008		
3.1e+007	0.0000		
0.0	2.4330e+007		
3.6e+009	3.6800e+009		
8.3e+008	8.1300e+008		
0.0	5.2458e+007		
4.9e+008	8.0000e+008		
1.5e+008	1.4200e+008		
6.0e+008	1.4500e+009		
0.0	0.0000		
9.7e+007	9.8828e+007		
9.5e+007	1.0200e+008		
1.7e+009	1.9100e+009		
0.0	0.0000		
5.5e+008	4.6700e+008		
9.7e+009	1.6900e+010		
1.2e+010	1.4000e+010		
6.3e+009	2.2100e+010		
8.0e+009	6.9600e+009		
2.0e+010	2.3200e+010		
6.2e+009	6.6200e+009		
3.5e+009	4.2900e+009		
4.4e+009	4.0700e+009		
1.8e+009	6.2700e+009		
4.5e+009	4.3500e+009		
3.2e+009	4.0500e+009		
5.3e+009	5.5700e+009		
1.7e+009	1.3500e+009		
1.5e+009	1.8200e+009		
0.0	0.0000		
1.7e+010	1.7800e+010		
9.6e+009	1.0500e+010		
1.1e+010	1.1400e+010		
6.6e+009	6.7000e+009		
1.1e+010	1.3400e+010		
9.2e+009	8.2800e+009		
6.4e+009	6.4100e+009		
7.2e+009	6.3100e+009		
5.3e+009	4.6400e+009		
2.2e+010	2.1600e+010		
2.5e+010	2.3300e+010		
2.0e+010	1.9700e+010		
1.9e+010	1.8700e+010		
4.4e+009	5.5300e+009		
6.0e+009	7.1300e+009		
7.0e+008	7.5700e+008		
3.9e+008	3.6600e+008		
0.0	0.0000		
2.1e+009	2.0700e+009		
1.8e+010	1.9200e+010		
6.9e+008	1.2800e+009		
5.9e+009	6.1100e+009		
1.3e+007	0.0000		
2.7e+007	0.0000		
3.2e+009	2.4700e+009		
2.3e+008	2.6200e+008		
1.0e+010	8.9500e+009		
0.0	0.0000		
2.3e+008	2.3200e+008		
1.8e+010	1.9200e+010		
9.2e+007	1.0800e+008		
5.5e+008	5.7000e+008		
2.6e+010	2.6000e+010	2.60e+010	
1.1e+011	1.0200e+011		
2.0e+009	1.8300e+009		
8.4e+009	7.2900e+009		
6.6e+009	4.5600e+009		
1.1e+010	1.3000e+010		
9.9e+007	1.3800e+008		
5.2e+008	4.8000e+008		
3.6e+008	3.2800e+008		
0.0	0.0000		
4.3e+008	4.6600e+008		
6.1e+008	6.2000e+008		
0.0	0.0000		
4.9e+008	5.4100e+008		
0.0	0.0000		
5.3e+008	3.9200e+008		
3.8e+008	3.9100e+008		
1.2e+008	1.3400e+008		
5.9e+007	8.2415e+007		
1.5e+007	0.0000		
3.9e+008	6.4900e+008		
6.5e+007	7.3893e+007		
3.1e+008	4.5000e+008		
3.1e+008	2.7200e+008		
0.0	2.5526e+007		
1.1e+008	1.0500e+008		
1.4e+009	1.2200e+009		
0.0	7.7991e+007		
1.8e+009	2.0100e+009		
2.4e+009	2.5800e+009		
9.6e+007	7.9860e+007		
5.5e+008	5.0100e+008		
0.0	1.3766e+007		
2.3e+008	2.3800e+008		
7.6e+009	5.5900e+009		
0.0	1.3600e+008		
5.0e+008	6.2100e+008		
0.0	0.0000		
2.4e+008	2.8800e+008		
5.0e+008	4.4500e+008		
2.7e+008	2.7300e+008		
0.0	2.4292e+007		
7.2e+008	1.0500e+009		
9.7e+008	1.0600e+009		
1.0e+008	1.0300e+008		
0.0	0.0000		
5.2e+009	5.0900e+009		
4.0e+009	3.8100e+009		
3.9e+009	3.8700e+009		
9.0e+008	1.0400e+009		
0.0	0.0000		
5.3e+009	5.5800e+009		
1.4e+010	1.4300e+010		
1.6e+008	1.6500e+008		
1.3e+009	2.1400e+009		
4139900.0	0.0000		
0.0	0.0000		
4.3e+008	3.7700e+008		
0.0	0.0000		
0.0	4.6977e+007		
7.9e+007	1.0300e+008		
2.6e+010	2.7800e+010		
0.0	0.0000		
3.2e+008	4.4400e+008		
6.1e+007	5.2453e+007		
2.4e+010	2.6200e+010		
5.2e+007	5.7574e+007		
0.0	3.8628e+007		
9.5e+007	2.1700e+008		
1.8e+008	2.1400e+008		
1.2e+009	1.1500e+009		
