"Wavelength (nm)"	WT-ssrA	WT
230.2	-6.909930	-6.159160
230.1	-6.998590	-6.213570
230.0	-7.109190	-6.296030
229.9	-7.203320	-6.405640
229.8	-7.294600	-6.515220
229.7	-7.385870	-6.611210
229.6	-7.436940	-6.676030
229.5	-7.469260	-6.744550
229.4	-7.509940	-6.832710
229.3	-7.519110	-6.909680
229.2	-7.577830	-6.993830
229.1	-7.619200	-7.045180
229.0	-7.714340	-7.064980
228.9	-7.833960	-7.062280
228.8	-7.967310	-7.128370
228.7	-8.068800	-7.216450
228.6	-8.147450	-7.319320
228.5	-8.266470	-7.435390
228.4	-8.367280	-7.516300
228.3	-8.433240	-7.560290
228.2	-8.493760	-7.628180
228.1	-8.530380	-7.734870
228.0	-8.595500	-7.813790
227.9	-8.658680	-7.905090
227.8	-8.738910	-7.968770
227.7	-8.773500	-8.027030
227.6	-8.788420	-8.089070
227.5	-8.850350	-8.157210
227.4	-8.959350	-8.236190
227.3	-9.068530	-8.313400
227.2	-9.184670	-8.376250
227.1	-9.260220	-8.407270
227.0	-9.378380	-8.487370
226.9	-9.506710	-8.571580
226.8	-9.590200	-8.630320
226.7	-9.646310	-8.694300
226.6	-9.736540	-8.782720
226.5	-9.791020	-8.870360
226.4	-9.842800	-8.931870
226.3	-9.911860	-9.024210
226.2	-9.932510	-9.106230
226.1	-9.956060	-9.120630
226.0	-10.050200	-9.150170
225.9	-10.200100	-9.191710
225.8	-10.314300	-9.231170
225.7	-10.405100	-9.275590
225.6	-10.484800	-9.336170
225.5	-10.520000	-9.410040
225.4	-10.585800	-9.481880
225.3	-10.624800	-9.553960
225.2	-10.666100	-9.629270
225.1	-10.681400	-9.733880
225.0	-10.706900	-9.830850
224.9	-10.774200	-9.877390
224.8	-10.889500	-9.945920
224.7	-10.959400	-9.985400
224.6	-11.067000	-10.016500
224.5	-11.167600	-10.024100
224.4	-11.236400	-10.042000
224.3	-11.279900	-10.066700
224.2	-11.324700	-10.099100
224.1	-11.321600	-10.130300
224.0	-11.313400	-10.131100
223.9	-11.355200	-10.146400
223.8	-11.397300	-10.171600
223.7	-11.423300	-10.172900
223.6	-11.414700	-10.197500
223.5	-11.378900	-10.214700
223.4	-11.403600	-10.206000
223.3	-11.471200	-10.225500
223.2	-11.493000	-10.264600
223.1	-11.512400	-10.321000
223.0	-11.492400	-10.315800
222.9	-11.495100	-10.316300
222.8	-11.516600	-10.312200
222.7	-11.637600	-10.329200
222.6	-11.729800	-10.370800
222.5	-11.739800	-10.379200
222.4	-11.724600	-10.424100
222.3	-11.662300	-10.412100
222.2	-11.648000	-10.403800
222.1	-11.617700	-10.447500
222.0	-11.606500	-10.488000
221.9	-11.556600	-10.516100
221.8	-11.524400	-10.503900
221.7	-11.496000	-10.455800
221.6	-11.466400	-10.383900
