"Wavelength (nm)"	WT	Shuf1	FEBS
235.6	-2.950240	-2.535680	-2.880430
235.5	-3.005410	-2.549440	-2.919620
235.4	-3.085110	-2.572580	-3.001050
235.3	-3.159250	-2.602270	-3.094110
235.2	-3.207890	-2.627740	-3.189120
235.1	-3.270580	-2.696150	-3.237450
235.0	-3.311310	-2.709580	-3.211000
234.9	-3.403890	-2.815090	-3.334330
234.8	-3.516320	-2.945630	-3.434240
234.7	-3.611320	-3.094770	-3.500420
234.6	-3.723970	-3.238460	-3.579620
234.5	-3.755630	-3.310760	-3.631570
234.4	-3.741810	-3.357850	-3.612410
234.3	-3.762010	-3.377210	-3.640870
234.2	-3.775020	-3.425410	-3.691370
234.1	-3.756560	-3.429540	-3.649130
234.0	-3.791110	-3.424760	-3.632510
233.9	-3.863660	-3.411170	-3.664120
233.8	-3.835450	-3.393080	-3.662080
233.7	-3.860890	-3.443480	-3.679580
233.6	-3.915150	-3.482760	-3.766710
233.5	-4.055220	-3.608500	-3.850020
233.4	-4.172850	-3.737150	-3.921990
233.3	-4.275540	-3.877480	-4.061550
233.2	-4.408250	-3.993430	-4.194500
233.1	-4.478620	-4.057560	-4.265600
233.0	-4.571010	-4.109080	-4.334440
232.9	-4.658410	-4.119870	-4.407860
232.8	-4.795430	-4.201800	-4.472620
232.7	-4.817090	-4.187750	-4.509650
232.6	-4.824110	-4.172530	-4.538000
232.5	-4.854900	-4.143820	-4.529800
232.4	-4.934070	-4.170000	-4.518650
232.3	-4.910800	-4.199630	-4.525890
232.2	-4.886080	-4.296510	-4.513280
232.1	-4.895910	-4.415650	-4.499540
232.0	-4.953120	-4.511550	-4.534040
231.9	-4.998460	-4.666180	-4.616640
231.8	-5.006880	-4.770500	-4.694890
231.7	-5.071770	-4.814900	-4.794450
231.6	-5.064770	-4.832020	-4.896090
231.5	-5.110370	-4.890200	-4.963400
231.4	-5.162190	-4.924010	-5.020570
231.3	-5.209330	-4.935980	-5.102850
231.2	-5.268950	-4.969520	-5.222640
231.1	-5.310920	-4.956070	-5.232610
231.0	-5.429200	-4.989140	-5.265100
230.9	-5.535510	-5.091880	-5.293480
230.8	-5.569320	-5.182360	-5.310810
230.7	-5.642420	-5.278480	-5.347430
230.6	-5.722770	-5.312130	-5.400960
230.5	-5.826310	-5.364640	-5.501220
230.4	-5.923750	-5.472210	-5.592040
230.3	-5.958670	-5.497510	-5.672620
230.2	-6.029550	-5.510990	-5.784590
230.1	-6.036480	-5.550520	-5.901220
230.0	-6.099640	-5.630710	-6.017530
229.9	-6.199460	-5.677160	-6.156930
229.8	-6.245590	-5.650470	-6.254570
229.7	-6.295150	-5.629190	-6.296470
229.6	-6.343250	-5.651150	-6.366470
229.5	-6.394570	-5.699920	-6.430480
229.4	-6.498460	-5.852810	-6.493910
229.3	-6.609130	-5.959530	-6.497030
229.2	-6.683360	-6.002680	-6.535540
229.1	-6.666020	-6.085090	-6.573370
229.0	-6.662270	-6.160170	-6.572290
228.9	-6.743890	-6.279160	-6.634180
228.8	-6.864750	-6.352860	-6.656880
228.7	-6.985260	-6.433700	-6.636350
228.6	-6.994320	-6.461990	-6.642140
228.5	-7.065580	-6.512830	-6.730300
228.4	-7.155880	-6.535440	-6.826040
228.3	-7.269900	-6.536740	-6.906610
228.2	-7.369430	-6.572490	-7.039990
228.1	-7.448530	-6.619470	-7.128170
228.0	-7.492670	-6.643990	-7.207510
227.9	-7.476670	-6.637990	-7.238520
227.8	-7.580880	-6.668730	-7.324030
227.7	-7.622110	-6.715900	-7.420140
227.6	-7.713760	-6.819290	-7.508990
227.5	-7.899420	-6.954080	-7.572090
227.4	-8.065190	-7.120080	-7.601910
227.3	-8.159990	-7.249850	-7.649020
227.2	-8.211800	-7.358500	-7.695670
227.1	-8.374040	-7.548530	-7.846030
227.0	-8.485470	-7.649440	-7.973430
226.9	-8.556170	-7.711670	-8.026730
226.8	-8.605160	-7.771320	-8.062920
226.7	-8.524720	-7.777940	-8.133270
226.6	-8.513550	-7.763890	-8.130280
226.5	-8.573690	-7.784970	-8.152340
226.4	-8.651640	-7.870260	-8.213110
226.3	-8.714950	-7.871430	-8.245920
226.2	-8.733500	-7.975140	-8.267040
226.1	-8.788810	-8.100850	-8.328780
226.0	-8.874660	-8.157700	-8.358840
225.9	-8.989380	-8.209890	-8.324430
225.8	-9.089730	-8.194810	-8.397150
225.7	-9.145820	-8.287010	-8.532650
225.6	-9.177310	-8.319100	-8.624780
225.5	-9.188160	-8.369390	-8.718060
225.4	-9.245180	-8.372060	-8.817700
225.3	-9.324120	-8.334500	-8.846530
225.2	-9.315300	-8.307510	-8.905010
225.1	-9.286890	-8.275080	-9.003840
225.0	-9.282140	-8.304250	-9.066320
224.9	-9.307710	-8.353430	-9.042460
224.8	-9.321000	-8.278460	-8.931380
224.7	-9.303140	-8.202380	-8.842120
224.6	-9.329740	-8.196050	-8.827240
224.5	-9.337200	-8.218810	-8.893900
224.4	-9.427000	-8.316550	-8.997020
224.3	-9.526240	-8.400660	-9.036310
224.2	-9.620690	-8.506390	-9.069830
224.1	-9.719150	-8.598260	-9.168280
224.0	-9.815900	-8.778660	-9.301440
223.9	-9.988430	-8.926360	-9.404330
223.8	-10.081000	-9.033720	-9.502450
223.7	-10.186400	-9.044650	-9.531700
223.6	-10.226100	-9.015840	-9.437640
223.5	-10.244000	-9.015990	-9.486620
223.4	-10.273700	-9.036040	-9.572900
223.3	-10.176700	-8.960580	-9.498500
223.2	-10.107400	-8.889360	-9.456350
223.1	-10.001800	-8.846060	-9.419030
223.0	-10.024600	-8.878930	-9.433580
222.9	-10.000300	-8.940440	-9.410460
222.8	-10.014000	-8.946000	-9.444100
222.7	-10.022800	-8.951470	-9.436330
222.6	-10.031200	-8.961150	-9.479540
222.5	-10.117800	-9.049020	-9.568780
222.4	-10.205800	-9.068010	-9.687320
222.3	-10.285600	-9.124980	-9.749500
222.2	-10.247300	-9.139570	-9.671890
222.1	-10.214000	-9.064640	-9.547760
222.0	-10.153400	-9.020000	-9.511890
221.9	-10.150800	-9.092930	-9.461360
221.8	-10.226100	-9.186920	-9.393890
221.7	-10.241900	-9.197790	-9.342000
221.6	-10.220200	-9.211590	-9.302890
221.5	-10.247700	-9.241710	-9.295760
221.4	-10.261900	-9.248660	-9.396200
221.3	-10.361600	-9.303330	-9.561920
221.2	-10.478100	-9.445180	-9.751080
221.1	-10.535300	-9.488900	-9.924780
221.0	-10.516600	-9.425280	-10.006700
220.9	-10.487300	-9.358120	-10.019700
220.8	-10.385600	-9.328010	-10.042400
220.7	-10.356600	-9.339000	-10.096100
220.6	-10.308400	-9.210250	-10.072000
220.5	-10.303000	-9.179650	-10.114800
220.4	-10.231400	-9.130240	-10.097600
220.3	-10.088600	-9.028690	-9.988870
220.2	-10.043300	-9.050540	-9.967720
220.1	-10.056100	-9.119420	-10.058700
220.0	-10.101500	-9.111510	-10.029800
219.9	-10.166800	-9.074530	-10.029600
219.8	-10.177900	-9.065360	-10.022300
219.7	-10.237700	-9.115180	-10.019900
219.6	-10.291300	-9.123450	-9.996650
219.5	-10.369800	-9.153190	-10.058600
219.4	-10.414600	-9.206250	-10.022000
219.3	-10.363900	-9.198070	-9.913130
219.2	-10.346200	-9.250190	-9.866470
219.1	-10.324800	-9.357000	-9.866470
219.0	-10.310400	-9.418170	-9.899920
218.9	-10.389400	-9.497090	-9.882400
218.8	-10.409300	-9.557000	-9.890610
218.7	-10.468500	-9.598650	-9.886840
218.6	-10.524700	-9.708110	-9.962620
218.5	-10.698000	-9.776310	-10.099900
218.4	-10.770700	-9.787460	-10.176800
218.3	-10.915300	-9.787340	-10.230000
218.2	-11.091200	-9.800990	-10.247200
218.1	-11.034500	-9.733190	-10.315200
218.0	-10.946100	-9.684390	-10.346700
217.9	-10.903300	-9.653610	-10.347200
217.8	-10.913000	-9.564010	-10.315600
217.7	-10.871300	-9.462960	-10.277000
217.6	-10.797200	-9.453150	-10.262900
217.5	-10.824200	-9.449180	-10.304400
217.4	-10.757000	-9.450080	-10.257200
217.3	-10.733700	-9.431460	-10.100300
217.2	-10.802700	-9.475580	-10.058400
217.1	-10.753300	-9.478940	-10.046300
217.0	-10.684800	-9.531070	-10.047700
216.9	-10.694700	-9.627390	-10.002300
216.8	-10.754000	-9.618930	-9.956180
216.7	-10.687500	-9.545570	-9.883500
216.6	-10.544600	-9.434970	-9.799160
216.5	-10.474900	-9.406440	-9.862390
216.4	-10.405300	-9.325270	-9.917400
216.3	-10.429500	-9.314650	-9.899660
216.2	-10.473300	-9.299410	-9.820300
216.1	-10.319800	-9.218770	-9.718310
216.0	-10.134400	-9.142500	-9.721760
215.9	-10.059300	-9.127070	-9.804200
215.8	-10.041500	-9.114040	-9.892690
215.7	-10.053800	-9.102370	-9.869590
215.6	-10.040100	-9.098580	-9.821740
215.5	-9.953940	-9.155310	-9.799740
215.4	-9.793440	-9.128340	-9.834770
215.3	-9.890800	-9.207760	-9.940310
215.2	-9.992220	-9.114780	-9.992600
215.1	-10.003000	-9.044680	-9.962320
215.0	-10.006800	-9.025400	-9.842130
214.9	-9.879220	-8.865450	-9.667490
214.8	-9.800080	-8.829530	-9.545960
214.7	-9.818150	-8.821560	-9.433440
214.6	-9.954980	-8.873530	-9.426750
214.5	-9.971450	-8.797260	-9.361230
214.4	-10.020800	-8.860090	-9.341700
214.3	-9.999820	-8.902020	-9.301790
214.2	-9.977230	-8.959370	-9.284270
214.1	-10.098400	-9.086090	-9.377610
214.0	-10.167500	-9.136730	-9.480250
213.9	-10.213500	-9.142270	-9.603140
213.8	-10.155400	-9.010570	-9.604440
213.7	-10.177200	-8.910790	-9.554700
213.6	-10.059800	-8.836760	-9.560300
213.5	-9.946700	-8.815290	-9.516500
213.4	-9.911890	-8.646940	-9.477370
213.3	-9.947860	-8.534540	-9.529840
213.2	-9.943660	-8.419970	-9.530030
